English Sentences,Hindi Sentences,Word Count (English),Word Count (Hindi),Difference between Word Count (English) and Word Count (Hindi),translation,bleu,chrf,ter
Now We have made the Koran easy for Remembrance. Is there any that will remember?,हमने क़ुरआन को नसीहत के लिए अनुकूल और सहज बना दिया है। फिर क्या कोई नसीहत हासिल करनेवाला?,15,18,3,नवा हमें कोरान मी से रिकम्ब्रेशन कर दिया। है या नहीं?,1.889785222,12.91005112,100
"""The movie is directed by Indra Kumar.",इस मूवी को इंद्र कुमार डायरेक्ट करेंगे।,7,7,0,"""मूवी का निर्देशक इंद्र कुमार है।""",12.22307556,36.22282393,71.42857143
"Talking to reporters here on his return from a spiritual tour, he also said the state government should put additional pressure on the Central government to set up the Cauvery Management Board.",आध्यात्मिक यात्रा से वापस लौटने पर उन्होंने पत्रकारों से कहा कि राज्य सरकार को कावेरी प्रबंधन बोर्ड गठित करने के लिए केंद्र सरकार पर अतिरिक्त दबाव डालना चाहिए।,32,28,4,"हाल के दौरान मैंने अपनी प्रारंभिक शिक्षा से लेकर उच्च शैक्षणीय स्तर तक सभी विषयों पर भाषण कर रहे हैं। वहां एक आध्यात्मिक यात्रा के बाद उन्होंने कहा, ""राज्य सरकारें अध",3.176605499,33.88878649,103.5714286
'Gold Coins In Tamil Nadu Temple' - 1 News Result(s),'मंदिरों में रखा सोना' - 1 न्यूज़ रिजल्ट्स,10,8,2,"""तामिळनदु मंदिर के पास गोल्ड कॉइन्स""",0,15.96108787,100
"You should all write to Khattar uncle (Haryana Chief Minister Manohar Lal Khattar) and Captain uncle (Punjab Chief Minister Amarinder Singh) asking them to take care of your health, said Kejriwal.",उन्होंने बच्चों से कहा कि वे कैप्टन अंकल (पंजाब के मुख्यमंत्री कैप्टन अमरेंद्र सिंह) और खट्टर अंकल (हरियाणा के मुख्यमंत्री मनोहर लाल खट्टर) को पत्र लिखें और कहें ‘कृपया हमारी सेहत का ध्यान रखें।,31,34,3,"कृपया सभी को खट्टर पिता (हारियान राज्य मुख्यमंत्री) महामोहन लाल खट्तर से पत्रकारों को अपनी स्वास्थ्य देखभाल करने के लिए अनुरोध करें, कहांसे निकल जाएं।  यह",1.586620904,25.86883092,97.05882353
NClT bench members BSV Prakash Kumar and V Nallasenapathy said that Mistry was ousted as chairman because the Tata Sons Board and its majority shareholders had lost confidence in him.,एनसीएलटी वेंच के सदस्य बीएसवी प्रकाश कुमार और वी नलसेनापथी ने कहा कि साइरस मिस्त्री को इसलिए हटाया गया क्योंकि टाटा संस के निदेशक मंडल और उसके अधिकतर सदस्यों और शेयर धारकों का उनसे भरोसा उठ गया था।,30,38,8,एनसीए ने बेंच मेम्बर्स BSV प्रकाश कुमार और VNालासेनापथी ने कहा है कि मिस्टरी टाटा संस्कृतियों बोर्ड और उसके अधिकांश शेयरधारकों ने उन्हें चुनने पर विश्वास खो,5.379739502,35.24286363,78.94736842
"""The IT Secretary, who also happens to be the Secretary to the Chief Minister, was a frequent visitor to Swapnas residence.",आईटी सचिव मुख्यमंत्री के भी सचिव हैं और वह स्वपना के आवास पर अक्सर आते-जाते रहे हैं।,21,17,4,"""इट सेक्रेटरी, जो कि चीफ मंत्री अध्यक्षा द्वारा, एक नियमित यात्रियों में भी है और वह अपने घर पर कई बार रहता था।""",3.300809119,19.29117988,123.5294118
He shared this on his Instagram account.,रितेश ने इसकी जानकारी अपने इंस्टाग्राम अकाउंट पर भी दी है।,7,11,4,वह ने अपनी इंस्टाग्राम अकाउंट पर यह साझा किया।,15.27072535,44.0358531,63.63636364
Ghosh chooses not to talk about them,घोष उनके बारे में बात नहीं करते हैं।,7,8,1,गोश को उन लोगों से बात नहीं करनी चाहिए।,9.535414041,30.73986391,87.5
"""She is based in both London and Tokyo, and is very popular in Japan, with her style being described as """"British punk and recycled materials molded into voluminous and voluptuous Victorian-inspired dresses"""".""","""वह लंदन और टोक्यो दोनों में आधारित है, और जापान में बहुत लोकप्रिय है, जिसकी शैली को """" ब्रिटिश पंक और पुनर्नवीनीकरण सामग्री के रूप में वर्णित किया गया है, जिसे स्वैच्छिक और स्वैच्छिक विक्टोरियन-प्रेरित कपड़े में ढाला गया है"""" ।""",32,41,9,"""वह दोनों लंदन और टोक्यो में रहती है  वह भारत के जापान में बहुत प्रसिद्ध है, उसका स्टाइल ब्रिटिश पैंक और रिक्लेमेड्ड्स बनाए गए वोलुपटूस वाइकलिंग डेस्हबेबिस क",5.83450981,26.1031241,75.6097561
"""They also stressed on the requirement for Pakistan to produce evidence of proper trial which it claimed to have conducted in the case.","उन्होंने इस बात पर भी जोर दिया कि पाकिस्तान इस मामले में उचित सुनवाई का सबूत पेश करे, जैसा उसने दावा किया है.",23,23,0,"""वे पाकिस्तान को अपनी अदालत में उचित तरीका से न्यायिक सत्र चलाते हैं जिन्होंने उन पर आरोप लगाए थे।""",3.570268626,27.25330603,95.65217391
"Later, Shri Sharma will meet Mr. Armando Inroga, Minister of Industry and Trade, Mozambique, where the two Ministers will discuss trade and investment related issues.","बाद में, श्री शर्मा मोजांबिक के व्‍यापार मंत्री श्री इनरोगा से मुलाकात करेंगे।",25,13,12,"अगले कार्यक्रम में श्री शर्मा ने अरमंडो इंरोगा, उद्योग और वाणिज्य मंत्री, मोजाम्बिक, जिस पर दोनों अधिवक्ताओं के बीच संबंध बनाने के लिए चर्चा करेगा।",3.514847831,30.17000441,169.2307692
We are steadily climbing up on the innovations rankings in the world.,उन्होंने कहा कि दुनिया की इनोवेशन रैंकिंग में हम लगातार ऊपर बढ़ रहे हैं।,12,14,2,हम स्वाभाविक रूप में नवाचारों की तेजी वाले दुनिया भर में अपने उत्कृष्टताओं पर प्रमुख ध्यान केंद्रित कर रहे हैं।,5.039518688,24.02546641,114.2857143
"""The Romans had a passion for gladiatorial spectacles.",रोमी लोगों पर इस तरह के खेल देखने का जुनून सवार था ।,8,13,5,"""रोमनों ने ग्लादियोरियल स्पेक्सेस का प्रेम दिखाया।""",3.056960239,14.7261361,92.30769231
"""The police have arrested both the accused and they were presented before Court.",पुलिस ने दोनों आरोपियों से पूछताछ के लिए उनको अदालत में पेश कर रिमांड पर ले लिया है।,13,18,5,"""पुलिस ने दोनों आरोपियों को गिरफ्तार कर लिया है और उन्हें अदालत में पेश करने पर तैयारी चल रही है।""",17.50913104,52.95590246,72.22222222
"""The gist of the article 'These Remedies are not Enough', published on 9th June, was given to the court and jury. 9",जून को प्रकाशित लेख “ ये उपाय काफी नहीं हैं ” का सार अदालत और जूरी के समक्ष प्रस्तुत किया गया.,22,21,1,"""इस प्रकार के अन्य उपायों में से एक है जो निम्नलिखित विवरण देता है, यहां तक ​​कि उन्हें अपनी सहमति नहीं देना। इस बात पर चर्चा करने, और उनके लिए आवश्यक सबूत इकट्ठा करना, याद",1.241358473,18.54654111,157.1428571
Here a look at who said what:,आइये जानें किसने क्या कहा:,7,5,2,"अत्यंत विश्वासी हैं लोगों के बीच में से, जो अपना समय पूर्ण कर रहे हैं। उनके दिल में, एक खुशहाल और शांतिपूर्ण परिवार रहता है। वह हमेशा नई चीजें करने के इच्छुक थे। उन्ह",0,11.03356208,680
Khan secured 176 votes while his only rival Sharif got 96 votes.,इमरान खान के पक्ष में 176 वोट पड़े जबकि इमरान के विरोधी शाहबाज शरीफ के पक्ष में सिर्फ 96 वोट पड़े थे.,12,22,10,खन ने अपनी एकमात्र प्रतिद्वंद्वी शारीफ को 96 वोट्स से जीत लिया था।,1.431373614,13.25366865,100
"""The Congress, on the other hand, has fielded Ajay Rai from Varanasi.",वाराणसी से अजय राय को कॉन्ग्रेस ने टिकट दिया है।,12,10,2,"""कांग्रेस के बावजूद, अजय राई से वाराणसी में चुना गया है।""",4.016138436,34.04777762,100
As long as they have to depend on black money and dubious deals to collect their funds we will continue to see the sort of ugly wheeling and dealing we saw on the Tehelka tapes.,"जब तक वे अपना चंदा जुटाने के लिए काले धन और संदिग्ध सौदों पर निर्भर हैं, तब तक हम वैसी घटिया सौदेबाजी देखते रहेंगे, जो तहलका के टेपों में नजर आ रही है.",35,33,2,तलेका टेप्स में दिखाई दे रही है कि वे अपने पैसों से निराश नहीं हैं और उनको धोखाधड़ी करके उन्हें धन इकट्ठा करने के लिए मजबूर करते। हमारे सरकार को यह पता चलना चाहिए,3.555271431,23.57275681,100
He is unwavering when it comes to safeguarding national interests and furthering national progress.,"राष्ट्रहितों के संरक्षण और राष्ट्रीय प्रगति को बढ़ाने की बात हो, तो वह अटल रहे हैं।",14,16,2,वह स्वतंत्र राष्ट्रमित कार्यों और देश में आगे बढ़ने पर विश्वास रखता है।,2.700561757,19.91745499,93.75
PM Modi calls upon international community to unite against terrorism for the sake of humanity,प्रधानमंत्री नरेन्‍द्र मोदी ने अंतर्राष्‍ट्रीय समुदाय से मानवता के हित में आतंकवाद के खिलाफ एकजुट होने का आहवान किया,15,19,4,भारत के प्रधान मंत्री नरेंद्र टोडरा ने अंतर्राष्ट्रीय समुदाय से विरोध करने और दुनिया भर को एकजुट करके आतंकवाद के खिलाफ लड़ने के लिए अपनी बात कही।,7.305891545,52.21412168,110.5263158
"It owes its existence to the Delhi Special Police Establishment Act, 1946.",यह दिल्‍ली विशेष पुलिस स्‍थापना अधिनियम 1946 के अधीन अस्तित्‍व में आई।,12,12,0,"दिल्ली स्पेशल पुलिस एस्टेट act, 1946 के अनुसार यह अपना विकास करता है।",6.754312829,23.49067965,83.33333333
Property registration: Details of registered deeds,संपत्ति का पंजीकरणः पंजीकृत दस्तावेज का विवरण,6,7,1,मालिकता की रजिस्ट्रेशन - मालिकों द्वारा स्थापित निवासी दस्तावेज़,0,22.69619168,128.5714286
"""The film is scheduled to release on February 21, 2020.",मोस्\\u200dट अवेटेड यह फिल्\\u200dम अगले साल 21 फरवरी 2020 को सिनेमाघरों में रिलीज की जाएगी।,10,15,5,"""फिल्म का रिलीज़ दिन २१, २०२० में होने वाली थी।""",1.669427422,11.76616966,93.33333333
"Rajasthan Government has decided to keep close all schools, colleges, coaching centers, gyms, cinemas and theaters etc.","ग्रीस में सभी स्कूल, विश्वविद्यालय, सिनेमाघर, जिम और नाइट क्लब बंद कर दिए गए हैं।",17,15,2,"राजस्थान सरकार ने सभी स्कूलों, कॉलेजों और ट्रेनिंग केंद्रों, गेम्स, फिल्में, थिएटर आदि सहित सभी शिक्षा सुविधाओं पर पूर्ण रूप से बंद करने का निर्धारण किया।",1.94304365,22.73481936,160
What PDP has to say,क्या कहना है बीडीपीओ का,5,5,0,पीडीपी को सुनने वाला है,10.68217516,22.32069143,100
"Wreaths were laid by the Lieutenant General BK Chopra, Director General AFMS and Senior Colonel Commandant and the three Director Generals Medical Service of Army, Navy and Air Force to pay homage to the martyrs.","एएफएमए के महानि‍देशक लेफ्टीनेंट जनरल बी. के. चोपड़ा और वरि‍ष्‍ठ कर्नल कमांडेट तथा सेना, जल सेना और वायु सेना के चि‍कि‍त्‍सा सेवाओं के तीन महानि‍देशकों ने अमर जवान ज्‍योति‍ पर शहीदों को श्रद्धांजलि‍ दीं।",35,34,1,"अर्जनों के लिए विशेष प्रार्थना में शामिल होने, सैन्य बलों और राजनीतिक दलों द्वारा, 1947 तक पहुंचाई गई थी। यहां पर उन्होंने अपनी युद्धपूर्ण भूमि को समर्पित करने के",1.546771204,14.74403179,94.11764706
It is generally presumed that two successive names are teacher and pupil.,यह आम तौर पर माना जाता है कि लगातार दो नाम हैं शिक्षक और छात्र है.,12,16,4,तीनों के लिए शिक्षक और छात्र होना सामान्य मानती जाएगी।,7.756513313,33.3194219,87.5
"After presenting the Kalash , union Minister held a press conference and briefed media about the vision behind this step","कलश सौंपने के बाद, श्री पटेल ने एक प्रेस कॉन्फ्रेंस में इस कदम के पीछे के दृष्टिकोण के बारे में जानकारी दी",20,22,2,"कलाश के बाद, संयुक्त मंत्री ने अपना प्रस्तुति देते हुए समाचार पत्रकारों तक विस्फोटक जानकारी साझा करने और उनको इस पहल पर चर्चा करने के लिए एक अधिकांशतः शुरू कर द",5.51778489,22.56390801,122.7272727
It is a place of magnificent natural beauty and a Hindu pilgrim spot too,यह एक शानदार प्राकृतिक सुंदरता वाला स्‍थल है और एक हिंदू तीर्थ स्‍थल भी है।,14,15,1,यह एक महान प्राकृतिक सुंदरता और हिंदू तीर्थयात्री के लिए भूमि में स्थित है,8.601558512,44.56507164,73.33333333
"""""""Tejashwi is leader of RJD but he is not the leader of the Grand Alliance"""", he said.""","तेजस्वी राजद के नेता, लेकिन महागठबंधन के नेता नहीं हैं।",17,10,7,"""तेजश्वी राजद के नेता है लेकिन ग्रांड अलियन्स में उनका संभावित अध्यक्ष नहीं है।""",10.34360301,41.58957176,100
Olive oil is beneficial for your health in multiple ways.,आंवला स्वास्थ्य के लिए कई तरह से फायदेमंद होता है।,10,10,0,अलोह्यू में स्वास्थ्य के लिए कई तरीकों पर फायदा होता है।,27.90159394,57.19831158,50
WhatsApp Latest Features: This amazing WhatsApp feature will change the style of chatting. know how to use,"WhatsApp में आया नया फीचर, अब muted status को कर सकेंगे हाइड",17,12,5,WhatsApp के नवीनतम विशेषताएँ हैं । यह अनोखा चैटिंग शैली बदल देगा। जानें इसके बारे में।,2.445593937,20.75881418,125
"Similarly and based on media reports, enquiry was initiated in Delhi into issuance of cheques by companies which were alleged to be non-genuine and entry operators.","इसी तरह मीडिया में आई रिपोर्टों को ध्‍यान में रखते हुए दिल्‍ली में भी उन कंपनियों द्वारा चेक जारी किए जाने के मामलों की जांच शुरू की गई थी, जो कथित तौर पर गैर-वास्‍तविक एवं एंट्री ऑपरेटर थीं।",26,38,12,सही और आधार पर मीडिया रिपोर्ट्स के अनुसार दिल्ली से निर्दोष चेक जारी करने वाली कंपनियों सहित लोगों को शामिल करेंगे। इन सभी कानूनी प्रक्रियाओं को ध्यान रखें।,2.466195698,26.72220491,94.73684211
Ajit Pawar while responding to Narendra Modis congratulatory message thanked the Prime Minister.,महाराष्ट्र के उप मुख्यमंत्री अजित पवार ने शपथ लेने के बाद प्रधानमंत्री नरेंद्र मोदी द्वारा दी गई शुभकामनाओं पर शुक्रिया अदा किया है.,13,23,10,"अजित पावर ने नरेंद्र मोदी को अपना संदेश देते हुए, प्रधानमंत्री,  त्योहारों पर मनाए जाने वाले अवसर पर धन्यवाद अदायुक्त।",4.151237743,31.25126184,91.30434783
"""The police who arrested four people.",चार लोगों को गिरफ्तार किया गया है।,6,7,1,"""पुलिस ने चार लोगों को गिरफ्तार कर दिया है।""",24.808415,71.34427767,71.42857143
He later became a legislator.,इसके बाद विधायक भी बने.,5,5,0,लATER वे एक संसद सदस्य बन गए।,0,7.620544482,140
Its objectives are to: -,इसके उद्देश्य हैः,,,0,"अपने उद्देश्यों को प्राप्त करने में मदद करें, जैसे:",0,37.84212364,300
People evacuated as volcano erupts in Indonesia,इंडोनेशिया में ज्वालामुखी विस्फोट के बाद इलाके से लोगों की निकासी जारी,7,12,5,"अन्नपूर्ण विस्फोट के बाद, इंडोनेशिया में लोगों से दूरी बनाने पर प्रशासन ने तीन घंटे तक रुकावट लगाई। 3 घंटे तक शांति रही।",8.010360497,41.56182265,166.6666667
Alcohol is known to all as an inebriant.,एल्कोहल को एक मादक पदार्थ के रूप में जाना जाता है।,8,11,3,अल्कोहल को सभी से जाना है एक मादक।,4.995138898,33.12226692,81.81818182
"""The same goes for Australia versus England semi-final at Edgbaston",इसी के साथ अब ऑस्ट्रेलिया सेमीफाइनल में इंग्लैंड से भिड़ेगी,10,10,0,"""सबी तरह ऑस्ट्रेलिया के खिलाफ इंग्लैंड सेमी-फाइनल में एडीबेसन मैदान पर होना",4.368583926,48.8283315,100
A proposal in this connection is being prepared.,इसके लिए प्रस्ताव तैयार कर लिया गया है।,8,8,0,अतिरिक्त संबंधों के लिए एक प्रस्ताव तैयार कर रहा हूँ।,16.78445963,49.50537977,87.5
Can sinful humans become part of Gods family?,क्या पापी इंसान परमेश्‍वर के परिवार के सदस्य बन सकते हैं?,8,11,3,अन्यायपूर्ण मानवों को भगवान परिवार में शामिल करने संभव है?,4.069582841,21.16917563,90.90909091
"After losing his son in an alleged fake encounter, Athar Mushtaqs father has been slapped with an FIR for demanding his dead body","महबूबा मुफ्ती ने ट्वीट किया, ‘कथित फर्जी मुठभेड़ में अपने बेटे अतहर मुश्ताक को खोने के बाद उसका शव मांगने को लेकर पिता पर एफआईआर दर्ज की गई है",23,29,6,"अतार मुस्तफ़quez पिता को गंभीर आरोपों से जेल में डाल दिया गया, जब उन्होंने अपनी पत्नी के निधन पर आधिकारिक रूप से झूठी हिंसक घटनाओं का खुलासा।",1.9458663,16.84169045,96.55172414
She had sustained serious injuries to her leg in the accident and is still undergoing treatment.,हादसे में वह बुरी तरह घायल हुआ है और उसका इलाज चल रहा है।,16,14,2,वह अभी भी घायल है और उसके पैर को ठीक करना जारी है।,7.193386833,24.1158517,78.57142857
"NMDC Ltd operates three iron ore complexes in the country, two of these are in Chhattisgarh while the third one in Karnataka.","एनएमडीसी लिमिटेड देश में तीन लौह अयस्क परिसरों का संचालन करती है और इनमें से दो छत्तीसगढ़ में, जबकि तीसरा कर्नाटक में है।",22,23,1,"एनएमडीसी लिमिटेड तीन कार्बन मिश्रित धातु परिवहन संचालन करता है, दो इन चतिसगढ़ और एक करणाटक में शामिल।",4.532641351,34.96104914,73.91304348
"Cains works were wicked, but those of his brother were righteous","कैन के “काम बुरे थे, और उसके भाई के काम धर्म के थे ”",11,14,3,"कैन्स के कामों में दुष्ट थे, लेकिन उनकी भाई का सही था।",6.299392144,22.25312606,85.71428571
"""The accused, it is reported, had also filed a complaint in the Punjab and Haryana High Court seeking justice in this connection.","""वहीं आरोपी ने खुद को नाबालिग बताकर पंजाब एंव हरियाणा हाईकोर्ट में अर्जी भी दायर की हुई है।",22,18,4,"असिस्टेड के बारे में यह जानकारी सामने आई है, और उन्होंने पंजाब और हरियाणा उच्च न्यायालय में एक शिकायत दायर करी, इस पर अदालत में निर्देशित करने के लिए।""",1.734561795,22.53292747,138.8888889
Nirav Modi fraud case: Sources said the CVC asked PNB officials to investigate how the irregularities went undetected for seven years given that audits were conducted each year.,PNB घोटाला: सीवीसी ने पूछा- नियमों के बावजूद कैसे हुआ घोटाला?,28,11,17,नीराव मोदी घोटाले केस: स्रोतों ने बताया कि एससीवीसी पब्लिक बैंक (पीबी) अधिकारियों पर निर्दोषता को छोड़ने वाले अंतर्निहित अपराधों को चेतावनी नहीं देने,1.65040456,19.71988527,209.0909091
