English Sentences,Hindi Sentences,Word Count (English),Word Count (Hindi),Difference between Word Count (English) and Word Count (Hindi)
University of Delhi (Delhi University) is one of the prestigious university of India.,"??????????? ?? ??????, ???? ?? ?? ??? ???????????? ??? ?? ?? ?? ?? ???????? ?????? ??? ?????? ???? ??, ?? ??????????? ?? ?????? ?? ???? ?? ???? ??????? ??????????? ???? ???? ??.",13,32,19
This solar eclipse will also be visible in India.,?? ????? ????? ???? ??? ?? ??????.,9,7,2
"""The Tata Motors rights issue is perhaps the first one which will have a DVR portion",???? ?????? ?? ?????? ????? ???? ???? ??? ?????? ???? ?????? ??????????? ?????? ??????,16,14,2
"My memories of 1971 are a continuum from 1968, when I stepped into my teens","1971 ?? ???? ????? 1968 ?? ???? ???? ???? ???? ????? ?? ??????? ?? ?????? ?? ??? ?? ???, ?? ????? ???? ????? ??? ??? ??? ??",15,27,12
"""The commission has concluded its findings and has submitted its 17-page report to the Sindh Home Department, as per sources.","??????? ?? ??????, ???? ???? ?? 17 ??? ?? ???? ??????? ???? ?????? ?? ??? ????? ?? ??? ??? ?? ???",20,21,1
He said no such incident had taken place in their school.,???????? ??? ?? ????? ??? ???????? ???? ??? ???? ???? ????,11,11,0
He added five persons have been arrested in this connection.,????? ?? ?? ????? ??? 5 ?? ???????????? ?? ????,10,10,0
He always thought he was not conventionally good-looking and felt that he would never look as good as Rajesh Khanna.,?????? ????? ???? ?? ?? ?? ????? ????? ?? ??? ????? ???? ??? ?????,20,14,6
"""The memorandum stated that out of the 1,241 buildings maintained by the CPWD, LED bulbs have been installed in 223 and the work is in progress in 230 buildings.","?????? ??? ??? ??? ?? ?? ????????????? ?? ?????? ???? 1,241 ??????? ??? ?? 223 ??????? ??? ????? ???? ???? ?? ??? ??? 230 ??????? ??? ??? ?? ??? ???",29,30,1
"This form of retailing faces the problems of small capital, lack of professionalism and low purchasing power.","?? ?????? ?? ????? ???? ??? ??? ?? ?????, ???????????? ?? ????? ?? ???? ?? ?? ???? ????? ?? ????????? ?? ????? ???? ????? ???",17,25,8
"As PM Modi begins to speak, the strong crowd of Indian-Americans starts chating 'Modi, Modi' slogan.","???? ??? ???? ?? ?????? ?? ????? ???? ???? ???? ????? ???? ????? ??? ??? '????, ????' ?? ???? ????? ???.",16,21,5
"""The accused has been arrested on 7.12.2014 from Mathura and has been brought to Delhi where he will be produced before court on 8.12.2014 i.e. today.",12-2014 ?? ????? ?? ???????? ?? ??????? ???? ??? ???? ??? ?? ???? 8-12-2014 ?? ????????? ?? ????? ??? ???? ???????,26,21,5
"Prime Minister Narendra Modi will retain the Department of Personnel and Training, Atomic Energy and Space as well as all important policy issues and portfolios not allocated.","???????????? ???????? ???? ?? ??? ??????? ??? ????????? ?????, ?????? ????? ??? ?????????? ???? ?? ???? ??????? ???? ??? ???? ?????? ????? ???????",27,23,4
"During the last 24 hours, a total of 11,264 COVID-19 patients have been cured","????? 24 ????? ?? ?????, ?????-19 ?? ??? 11,264 ???? ??? ??? ???",14,13,1
"""The bench rejected the petition.",?????? ?? ?????? ????? ?? ???,5,6,1
"""""""They are as patriotic as any other community and, therefore, it is the responsibility of the state to provide equal protection to them,"""" he said.""","???????? ???, ‘?? ?? ???? ?? ??????? ???, ????? ???? ??? ?? ?????? ???? ??????? ?????? ???? ????? ?? ?????????? ???",25,21,4
"""The assailants carried iron rods and a kirpan in their hand.",????????? ?? ????? ??? ??????? ?? ???? ?? ????? ???.,11,10,1
I had never been away from the game for so long.,??? ??? ???? ???? ??? ?? ??? ?? ??? ???? ????,11,11,0
I must go.,???? ???? ?????.,,,0
"Kanpur: The Kanpur postal department has ordered an inquiry after stamps featuring underworld don Chhota Rajan and slain gangster Munna Bajrangi were issued by the main post office in the city, officials said on Tuesday",??????: ?????? ?? ?????? ????? ?? ??????????? ??????? ??? ???? ???? ?? ???? ?? ???? ??????? ????????? ??????? ?????? ?? ????????? ???? ??? ???? ???? ??? ???? ?? ??? ????? ?? ?? ????? ??? ????? ???????? ?????????? ??? ???? ?? ?? ??????? ???????? ?? ??????? ?? ???? ??,35,48,13
Artists are the moral conscience of society.,?????? ???? ???? ?? ????? ????? ???? ???.,7,8,1
People are sad and angry.,???? ??? ???? ? ???? ???,5,6,1
Lets look at some statistics.,"???, ??? ????? ????? ????",5,5,0
He adds that most political parties are saying that time should not be extended today and tomorrow the minister can reply,???????? ?? ?? ???- ???????? ???????? ????????? ‘?? ??? ??? ?? ???? ?? ???? ?????? ???? ????? ?? ?????? ?? ???? ?? ???? ???…?,21,24,3
"In May 2008, Cook asked Season 2 American Idol alum and TV Guide Network correspondent Kimberly Caldwell for a dinner date while on the red carpet before the show's seventh-season finale.","?? 2008 ???, ??? ?? 2 ??????? ???? ????? ????????? ???????? ?? ???? ?? ???? ?? ?? ?????? ???? ????? ?? ???? ?????? ?? ??? ???",31,26,5
"He said that school dropout rate among Muslim girls, which was earlier more than 70 per cent, has now been reduced to about 35-40 per cent due to awareness and educational empowerment programmes of the Central Government.",???????? ??? ?? ??? ??? ?? ????? ???? ???? ???? ??????? ???????? ?? ?????? ???? ?? 70 ????? ?? ???? ?? ???? 35 ?? 40 ??????? ?? ?? ??? ??? ??????? ????? ?? ?? ?? ???? ?? ???????? ?????? ?? ?????? ?? ??????? ??? ????????? ?? ???????? ?? ???? ??? ???,,,0
"Following the release of the film Santoshi Maa has been worshipped as a goddess, particularly by women in Northern India.","????? ?? ????? ?? ??? ?????? ??? ?? ???? ?? ??? ??? ???? ???? ??, ????? ??? ?? ?????? ???? ??? ??????? ?????? ???? ?????? ????? ???? ?? ?",20,29,9
Such candidates will have to make a request to NACIN for provisional registration at email gstp.nacingmail.com.,?? ??? ?? ??????????? ?? ???? gstp.nacingmail.com ?? ?????? ??????? ?? ??? ????? ?? ?????? ???? ?????,16,17,1
"In fact, India with...","?????, ?????? . ?????",,,0
"""The BMC also accused Sonu Sood of ignoring the notice in relation to the matter.",?????? ?? ???? ??? ?? ????? ?? ???????? ???? ?? ?? ???? ????? ???,15,14,1
"""The price increase is not required currently as cost of milk production is also under control in view of stable feed prices and lower energy and transportation costs, he said.",' ???????? ??? ?? ?????? ??? ??? ????? ?????? ?? ????? ???? ?? ??????? ????? ???? ???? ??? ?? ????? ??? ?????? ???? ?? ???????? ??? ??????? ???? ?? ???????? ??? ???,30,32,2
But it was not as I had thought.,????? ?? ???? ???? ??? ???? ?? ???? ??? ?????,8,10,2
"883 crorepatis, 645 candidates facing criminal cases are contesting Karnataka election","??????? ????? ??? 883 ????????, 645 ??????????? ?? ???? ??? ??????? ?????",11,12,1
"""""""People will criticise or appreciate, but for us it matters to stay together in difficult times.""","????? ?? ???,‘‘ ??? ?????? ?????? ?? ????? ?????? ????? ???? ??????? ??? ??? ????? ???? ?????",16,17,1
MeToo in India the ugliness has shaken me up.,Metoo ?????? ???? ??? ????? ?? ??? ??? ??? ???,9,10,1
"CISF provides security cover to nuclear installations, space establishments, airports, seaports, power plants, metro stations, sensitive government buildings and heritage monuments.","CISF ???? ?? ?????? ???????? ???? ?????? ?????????, ??????? ????????, ????-??????, ??????????????, ????????? ?????? ????? ??? ?????? ???????? ?? ??????? ?????? ???? ???",21,23,2
Everything for Germany.,?????? ?? ??? ?? ???..,,5,5
"And by the way, Chryste Gaines, the second runner in the US team, is the fastest woman on earth.","?? ????,???????? ????, ????? ????? US ??? ??, ?????? ?? ???? ???? ????? ??",19,14,5
Why do they do that? she asked.,???????? ???? ?? ??? ????? ?? ??? ????,7,8,1
I returned from the convention determined to take my stand for my faith in school.,?? ????? ????? ??? ???? ???? ?? ???? ??? ??? ???? ??? ?,15,13,2
"However, he didnt rule out the possibility.",??????? ???????? ????????? ?? ????? ?? ???? ?????,7,8,1
Older ones who have let the truth mold them into honest people set a good example for young ones in this dishonest world. In Myanmar lives such a young sister.,"???????? ???, ??? ?????? ?? ???? ??? ?? ???????? ?? ???? ????? ????? ?? ???",30,15,15
Three persons were arrested by the police.,???? ??? ?? ????? ??? ?? ???????? ?? ?????,7,9,2
"""The police have registered a case in connection with the incident, he added.",???????? ??? ?? ????? ?? ???? ?? ????? ???? ?? ???? ???,13,12,1
We are steadily climbing up on the innovations rankings in the world.,???????? ??? ?? ?????? ?? ??????? ??????? ??? ?? ?????? ??? ??? ??? ????,12,14,2
who use our product are not necessarily,?? ????? ?????? ?? ???????? ????? ???? ???,7,8,1
"You only serve, apart from God, idols and you create a calumny. those you serve, apart from God, have no power to provide for you. So seek after your provision with God, and serve Him, and be thankful to Him. unto Him you shall be returned.",(???) ??? ??? ?? ???? ?? ????? ????? ????? ?? ?????? ???? ??? ?? ???? ????? (???? ??? ??) ???? ?? ????? ?? ?? ?? ???? ?? ???? ?? ????? ??? ????? ?? ??? ?????? ???? ?? ?? ???????? ???? ?? ???????? ??? ????-?? ???? ?? ?? ???? ?? ?????? ?? ???? ????? ?? ??? ???? ????? ??? (???????) ??? ??? (?? ???) ??? ?? ??? ????? ?????,,,0
'Even with this background the poems and prose songs in free verse were not taken as a hoax in literary circles.,"??? ??, ???????? ?? ????? ???? ?? ??????? ?? ???? ????? ?? ?? ?????? ?? ??????? ??? ?? ????? ?? ??? ??? ???? ???? ????",21,25,4
"Minister of Maharashtra, Shri Devendra Fadnavis, Minister of Defence for State, Shri Subhash Bhamre, National Security Advisor, Shri Ajit Doval, Ambassador of France, Mr.Alexander Jigaral and other French guests, Chief of Navy, Admiral Sunil Lamba, Commanding in Chief, Western Naval Command, Vice Admiral Girish Luthra Ji, Vice Admiral D.M.Deshpande Ji, CMD, MDL, Mr.Rakesh Anand, Captain S.D.Mehndale, other officers and staff of Navy, Officers and staff of MDL (Mazgaon Dock Shipbuilders Limited), other dignitaries present here in the program.","?????????? ?? ?????? ??????? ?????? ????. ??? ??, ????? ?????? ??????? ??????? ??????? ??, ?????????? ?? ??????????? ??????? ???????? ?????? ??, ????? ??????????? ??. ????? ????? ??, ????????? ??????? ??????? ??????? ???? ????? ??, ?????? ?? ?????? ?????????? ????? ? ???? ????????? ???????, ?????? ?? ?????? ?????? ????? ?????? ??, ???????? ?? ???, ???????? ???? ????? ???? ?????? ????? ????? ??, ???? ?????? ?? ?? ???????? ??, ?? ?? ??, ?? ?? ??, ??????? ????? ????, ??????? ??.??. ???????, ?????? ?? ???? ??????? ??? ???????, MDL (?????? ??? ??????????? ???????) ?? ??????? ??? ??????????, ????????? ??? ??????? ???? ???????? ?????????",,,0
We have seen good growth.,???? ????? ?????? ??? ? ??? ???,5,7,2
"""The report was submitted in a sealed cover before a bench comprising Chief Justice D B Bhosale and Justice Suneet Kumar.",?? ??????? ??? ?????? ??. ??. ????? ?? ?????? ????? ????? ?? ?????? ?? ????? ?????? ?????? ??? ???????? ?? ???? ???,21,22,1
"""""""It took three years for him to set up a charitable organisation which became popular as """""""" Vanrai"""""""".""""""",?????? ?????? ?? ??? ?? ???????? ????? ?? ??????? ??? ??? ???? ?? ??? ????,18,15,3
CCD may be caused by mites or associated diseases or unknown pathogens.,?????? ?? ???? ???? ?? ??????? ??? ?? ?????? ?????? ?? ???? ????,12,13,1
"""The Indian Institute of Technology (IIT) Madras has topped the list of higher education institutes.",?? ??????? ??? ?????? ?????? (IIT Madras) ?????? ?????? ?????? ??????? ????????? ?? ??????? ??? ???? ????? ??? ??.,15,19,4
"""They've stopped.",?? ??? ??? ??.,,,0
Save it and take a printout for future use.,???? ????????? ??????? ?????? ?? ??? ???????? ?? ???.,9,9,0
Low-yield nuclear weapons are also devastating but have a strength of less than 20 kilotons.,???? ?????? ?????? ???? 20 ???? ?? ?? ?? ?????? ???? ???? ???. ??????? ?? ????????? ??? ?? ?? ????????? ???? ??? ????? ???? ?? ???? ????? ?? ???? ??.,15,30,15
"Above all, it would need to imbibe the advice given by Maulana Azad in October 1947:","????????, ????? ?????? ???? ?????? ???????, 1947 ??? ?? ?? ?? ???? ?? ??????? ???? ?? ???????? ?????",16,18,2
"""The accused is cousin brother of the victim.",????? ?????? ??? ??????? ?? ????? ??? ???,8,8,0
"Talking to reporters here on his return from a spiritual tour, he also said the state government should put additional pressure on the Central government to set up the Cauvery Management Board.",?????????? ?????? ?? ???? ????? ?? ???????? ????????? ?? ??? ?? ????? ????? ?? ?????? ??????? ????? ???? ???? ?? ??? ?????? ????? ?? ???????? ???? ????? ??????,32,28,4
But they never got going.,??????? ?? ??? ?? ?????,5,5,0
"""The iPhone 12 Pro comes with 12MP ultrawide, 12 wide angle lens and 12 telephoto lens.","\\xa0 ??? ?? 12MP ???????-???? ???? f2.2 ?????? ?? 123 ?????? ????? ?? ???? ?? ??? ????, ???? 8MP ???????? ???? f2.2 ?????? ?? ??? ?????",16,26,10
"Certainly whoever commits misdeeds and is besieged by his iniquitysuch shall be the inmates of the Fire, and they will remain in it [forever].",??? (?? ?? ?? ??) ?? ????? ????? ????? ?? ?? ???? ??????? ?? ????? ??? ?? ??? ??? ???? ?? ??? ??? ?? ??????? ??? ?? ??? (??) ????? ????? ??????,24,32,8
His influnce on the intellectual and poetic development of his younger and more famous brother was considerable.,???? ???? ?? ?????????? ???? ???????? ??? ?? ??????? ?? ?????????? ????? ?? ???? ??????? ?????? ???? ??.,17,18,1
"I feel very lucky to be part of all these projects More so, because I have done it step by step on my own without any backing or support in the film industry, Aditi said in a question by IANS during a Facebook live chat.","????? ?? ??????? ?? ?????? ???? ??? ?? ????? ?????, ‘??? ?? ??? ??????? ?? ?????? ???? ??? ?? ????????? ????? ??? ??????? ????? ??-?? ??? ???? ??? ???? ???? ?? ??? ?? ????? ?????? ??? ????? ????? ???",45,39,6
"UK to accept 20,000 refugees from Syria","15,000 ??????? ????? ?? ??? ???? ???????",7,7,0
"Help us, O Jehovah our God, for upon you we do lean, and in your name we have come against this crowd.","???? ?? ??????? ?? ?????? ?? ???? ??, ???? ?? ????????? ?? ??. ?? ????? ????????? ?????!",22,17,5
"""""""Introducing the resolution, Serbian Foreign Minister Vuk Jeremic asserted that Serbia """"""""does not and shall not recognize the unilateral declaration of independence of Kosovo.""""""",??????? ?? ????? ?????? ??? ??????? ?? ??????? ??????? ?????? ?? ??? ?? ?? ????? ??????? ?????? ?? ?????? ?? ?????? ???????? ????? ?? ?????? ?? ?????? ????? ?? ? ??????? ???? ?? ?? ? ?????.,24,36,12
"""""""There is no case of coronavirus so far.""",??? ?? ???? ?????? ????? ?? ??? ??? ???? ??? ???,8,11,3
Most of these are of clay.,????? ???????? ?????? ?? ????,6,5,1
Nearby was a house belonging to an inactive sister and her family.,?? ???? ????? ???? - ???? ?? ??? ???? ???? ???? ?? ????? ?? ?????? ?????? ???? ?,12,18,6
All of them were from Uttar Pradesh.,?? ??? ??? ??????????? ?? ??? ???,7,7,0
"For example, customers will not be able to know their asset value as it is not an equity investment and no net asset value will be declared","?????? ?? ???, ?????? ???? ?????????? ????? ???? ??? ?????? ??????? ?? ??????? ????? ???? ?? ?? ???? ????? ?????????? ????? ?? ????? ???? ?? ??????",27,26,1
"Mr Prime Minister, at that time, you had not taken his (Singhs) name out of respect.","???????????? ?????, ???? ?? ?? ????? ?? ???? ??? ???? ???? ???",16,12,4
"""There have been one tie while 11 matches have ended in no result.",?? ??? ??? ??? ?? ???? 11 ????? ?? ??? ?????? ???? ????? ???,13,14,1
She will also be seen in Fighter opposite south Indian superstar Vijay Devarakonda.,?? ????? ??? ?? ???? ????????? ???? ????????? ?? ?????? ??? ??????,13,12,1
"At the time of the incident, Kejriwal was holding the roadshow in favour of New Delhi candidate Brijesh Goyal who is contesting from the Lok Sabha seat.",?? ????? ???????? ?? ?????? ?????? ??? ?? ?? ???? ?????? ?? ????????? ?????? ???? ?? ??? ??????? ?????? ??? ???? ????? ??? ??? ?? ?? ??? ???,27,28,1
"""The fruit is rich in Vitamin K, Vitamin C, fibre and potassium.","?? ??? ??? ??????? ?? , ????????, ???, ????? ?? ??? ???? ?? ?????? ?????? ????? ???",12,17,5
European stocks were also trading lower in early trade.,"""???? ???????? ?????? ??? ?? ??????? ??????? ??? ????? ?????? ???? ?? ??? ??",9,14,5
"""The man (Nitish) who could not be loyal to George Fernandes, Sharad Yadav and snapped 17 years of ties with the BJP can also dump Lalu.","?? ???? ????? ?????????, ??? ???? ?? ?????? ???? ??? ?? ????? ????? ?? 17 ??? ?????? ?????? ???? ???? ?? ???? ?? ?? ??? ???? ???",26,27,1
"Established in Lahore in 1910, the college building still stands there in the name of Government Dyal Singh College.",1910 ??? ????? ??? ??????? ????? ?? ??? ?? ?? ????????? ???? ???? ????? ???,19,15,4
"Circumcise therefore the foreskin of your heart, and be no more stiff-necked.","?????? ???? ???? ???? ?? ???? ???, ?? ??? ?? ????? ? ????",12,13,1
About 50 people were injured.,???? ???? 50 ??? ???? ??? ???? ?? ?? ???,5,10,5
"Several commercials featured on HBO and Facebook aired prior to the series premiere, placing vampires in ads similar to those of beer and wine.",????? (HBO) ?? ?????? (Facebook) ?? ?? ?????????? ?? ???????? ???? ??? ??????? ???????? ?? ???????? ?? ???? ???????? ???? ??? ?? ?????? ??????? ?? ???? ?? ???? ?? ?????????? ?? ??? ?? ?????????? ??? ???????? ???? ??? ???,24,39,15
Officials said that regularisation was done following decision taken by the Cabinet in its recent meeting chaired by the Chief Minister Raman Singh.,?????????? ?? ????? ?? ?? ?????? ????????? ?? ??????????? ??? ???? ?? ????????? ??? ????? ????? ???? ????? ?? ?????? ???? ?????? ???? ??? ???? ????,23,26,3
"""', Chhillar responded: """"A Mother should get that highest honour, and not just salary but also lots of love and respect.""","""???????? ??? ??, """"?? ??? ?? ???? ?????? ???, ?? ? ???? ????, ????? ???? ???? ????? ?? ?????? ???? ???? ?????.""",21,22,1
"Alia Bhatt , Sidharth Malhotra , Fawad khan starrer film Kapoor & Sons first song Kar Gai Chull has finally released.",????? ???? ?? ????? ???? ?? ??????? ????? ?????? ?? ???? ?????? ????? ?? ??? ???,21,16,5
Commerce and Industry Minister Shri Piyush Goyal yesterday said that this would be a genuine single window and all the concerned State Governments and Central Ministries are being taken on board for the system.,??????? ?? ?????? ?????? ???? ????? ???? ?? ??? ?? ?? ?? ???????? ??? ?????? ??????? ???? ?? ???? ??? ??? ??????? ????? ??????? ?? ???????? ?????????? ?? ????? ??? ???? ?? ??? ???,34,34,0
"By contrast, the hiring and dismissal of principals and teaching personnel has up to now been the exclusive prerogative of supervisory administrators, wholly removed from the parent and local groups.","???? ??????, ???????????? ?? ???????? ?? ??????? ?? ?????? ???? ?? ?????? ?????????? ????????? ?? ???? ??????? ?? ??? ???, ????????? ?? ????????? ?????? ?? ????? ?? ?????",30,28,2
No action has been taken in this regard.,?? ?? ???????????? ?? ??? ???????? ???? ?? ?? ???,8,10,2
"""They are also the world's two most populous countries.",????? ?????? ??? ???? ?????? ????? ???? ????? ???.,9,9,0
"Mumbai: Bollywood's Queen Kangana Ranaut will take centrestage as a 'fairytale muse' at the Lakme Fashion Week (LFW) Spring-Summer 2018 edition, when she turns showstopper for designer duo Shyamal &Bhumika's 'Wonderland' line.",?????: ??????? ?? ‘?????’ ????? ???? ?????? ???? ??? (?????????) ???/??????? 2018 ??????? ??? ‘???????? ?????’ ?? ??? ??? ???? ??????????,32,21,11
"We strongly condemn victimisation of Yog [Yogendra] Yadavs family by Modi government through the use of agencies like IT [Income Tax Department], Kejriwal wrote on Twitter.","?????? ???????? ?? ????? ????, “?? ???? ????? ?????? ???? (???? ?????) ???? ????????? ?? ???????? ?? ???????? ???? ?? ?????? ?? ?????? ??? ???? ?? ???? ????? ???? ????",26,30,4
